dataset,model,classifier,accuracy,f1_ps,f1_nps,macro_f1,precision_ps,recall_ps,precision_nps,recall_nps,TN,FP,FN,TP,fpr,fnr,roc_auc,training_time
netherlands,bert-base-multilingual-uncased,SVM,0.835423197492163,0.746987951807229,0.8780487804878049,0.8125183661475169,0.7045454545454546,0.7948717948717948,0.9043062200956937,0.8532731376975169,378,65,40,155,0.14672686230248308,0.20512820512820512,0.8206112172252127,17.04350209236145
netherlands,bert-base-multilingual-uncased,Random_Forest,0.8589341692789969,0.7486033519553074,0.9019607843137255,0.8252820681345164,0.8220858895705522,0.6871794871794872,0.871578947368421,0.9345372460496614,414,29,61,134,0.0654627539503386,0.3128205128205128,0.9165364357237947,1.5054559707641602
netherlands,bert-base-multilingual-uncased,XGBoost,0.8573667711598746,0.7624020887728459,0.8980963045912653,0.8302491966820555,0.776595744680851,0.7487179487179487,0.8911111111111111,0.9051918735891648,401,42,49,146,0.09480812641083522,0.2512820512820513,0.9211437170805117,5.158716917037964
netherlands,bert-base-multilingual-uncased,LightGBM,0.8589341692789969,0.7668393782383419,0.8988764044943819,0.8328578913663619,0.774869109947644,0.7589743589743589,0.8948545861297539,0.9029345372460497,400,43,47,148,0.09706546275395034,0.24102564102564103,0.9206112172252128,3.0351269245147705
netherlands,xlm-roberta-base,SVM,0.8463949843260188,0.7598039215686274,0.8870967741935483,0.8234503478810878,0.7276995305164319,0.7948717948717948,0.9058823529411765,0.8690744920993227,385,58,40,155,0.1309255079006772,0.20512820512820512,0.8394165653759333,14.17134714126587
netherlands,xlm-roberta-base,Random_Forest,0.841692789968652,0.7306666666666666,0.8879023307436181,0.8092844987051424,0.7611111111111111,0.7025641025641025,0.8733624454148472,0.9029345372460497,400,43,58,137,0.09706546275395034,0.29743589743589743,0.9164206748856862,1.6686508655548096
netherlands,xlm-roberta-base,XGBoost,0.8526645768025078,0.7614213197969544,0.8934240362811792,0.8274226780390668,0.7537688442211056,0.7692307692307693,0.89749430523918,0.8893905191873589,394,49,45,150,0.11060948081264109,0.23076923076923078,0.9234242055912485,4.967629909515381
netherlands,xlm-roberta-base,LightGBM,0.8479623824451411,0.7493540051679587,0.890888638920135,0.8201213220440469,0.7552083333333334,0.7435897435897436,0.8878923766816144,0.8939051918735892,396,47,50,145,0.10609480812641084,0.2564102564102564,0.9187127394802338,2.9570488929748535
germany,xlm-roberta-base,SVM,0.8141418563922942,0.4800979791794243,0.8868452618952419,0.6834716205373331,0.3602941176470588,0.7192660550458716,0.9560344827586207,0.8269947800149142,3327,696,153,392,0.17300521998508575,0.28073394495412846,0.8502808393024514,7.2733378410339355
germany,xlm-roberta-base,Random_Forest,0.952276707530648,0.7939508506616257,0.9730131220599157,0.8834819863607708,0.8187134502923976,0.7706422018348624,0.969173859432799,0.976882923191648,3930,93,125,420,0.023117076808351976,0.22935779816513763,0.9568116358461781,17.951972723007202
germany,xlm-roberta-base,XGBoost,0.9544658493870403,0.8077634011090573,0.9741743233176061,0.8909688622133317,0.813780260707635,0.8018348623853211,0.9732076407839246,0.9751429281630624,3923,100,108,437,0.024857071836937607,0.1981651376146789,0.9455614163513923,13.647058963775635
germany,xlm-roberta-base,LightGBM,0.9481173380035026,0.7843494085532302,0.9705113848450914,0.8774303966991608,0.7779783393501805,0.7908256880733945,0.9715994020926756,0.9694258016405667,3900,123,114,431,0.030574198359433258,0.20917431192660552,0.939802785360325,7.263411998748779
english,xlm-roberta-base,SVM,0.7883263009845288,0.690010298661174,0.8392952482648157,0.7646527734629949,0.6393129770992366,0.7494407158836689,0.8752783964365256,0.8061538461538461,786,189,112,335,0.19384615384615383,0.2505592841163311,0.851220099810704,2.8938357830047607
english,xlm-roberta-base,Random_Forest,0.8987341772151899,0.8333333333333333,0.9272727272727272,0.8803030303030303,0.8633093525179856,0.8053691275167785,0.9134328358208955,0.9415384615384615,918,57,87,360,0.05846153846153846,0.19463087248322147,0.9499019101703666,3.7523272037506104
english,xlm-roberta-base,XGBoost,0.9029535864978903,0.8413793103448277,0.9300911854103344,0.8857352478775811,0.8652482269503546,0.8187919463087249,0.918918918918919,0.9415384615384615,918,57,81,366,0.05846153846153846,0.18120805369127516,0.9471806344289565,6.854351282119751
english,xlm-roberta-base,LightGBM,0.8952180028129395,0.8293241695303551,0.9244038559107053,0.8768640127205303,0.8497652582159625,0.8098434004474273,0.9146586345381527,0.9343589743589743,911,64,85,362,0.06564102564102564,0.19015659955257272,0.9418505133941376,3.775355100631714
uk,xlm-roberta-base,SVM,0.7853589196872779,0.6873706004140786,0.8365800865800865,0.7619753434970826,0.6287878787878788,0.7579908675799086,0.8794084186575654,0.7977296181630547,773,196,106,332,0.20227038183694532,0.2420091324200913,0.8435189504785331,3.301445722579956
uk,xlm-roberta-base,Random_Forest,0.8848614072494669,0.8133640552995393,0.9167523124357657,0.8650581838676525,0.8209302325581396,0.8059360730593608,0.9129989764585466,0.9205366357069144,892,77,85,353,0.07946336429308566,0.19406392694063926,0.9377753745093326,3.7121238708496094
uk,xlm-roberta-base,XGBoost,0.8919687277896233,0.8244803695150116,0.9219712525667351,0.8732258110408733,0.8341121495327103,0.815068493150685,0.9172625127681308,0.9267285861713106,898,71,81,357,0.07327141382868937,0.18493150684931506,0.9383243564188474,6.852750062942505
uk,xlm-roberta-base,LightGBM,0.8990760483297797,0.8371559633027523,0.9268795056642637,0.8820177344835081,0.8410138248847926,0.8333333333333334,0.9249743062692704,0.9287925696594427,900,69,73,365,0.07120743034055728,0.16666666666666666,0.9349385752859182,3.6546969413757324
sweden,xlm-roberta-base,SVM,0.8189759767046834,0.32792792792792796,0.8954010095344923,0.6116644687312102,0.21770334928229665,0.6642335766423357,0.9719939117199391,0.8299974005718742,3193,654,92,182,0.17000259942812582,0.3357664233576642,0.8288371448792214,9.451968908309937
sweden,xlm-roberta-base,Random_Forest,0.953409366658578,0.6431226765799255,0.9750778816199377,0.8091002790999315,0.6553030303030303,0.6313868613138686,0.9738138449572207,0.9763452040551078,3756,91,101,173,0.023654795944892122,0.3686131386861314,0.9333806416602946,17.45255398750305
sweden,xlm-roberta-base,XGBoost,0.9589905362776026,0.6780952380952381,0.9781002980432811,0.8280977680692596,0.7091633466135459,0.6496350364963503,0.9751937984496124,0.9810241746815701,3774,73,96,178,0.018975825318429944,0.35036496350364965,0.9148127557922658,10.126099824905396
sweden,xlm-roberta-base,LightGBM,0.9582625576316428,0.6730038022813688,0.9777086573354069,0.8253562298083879,0.7023809523809523,0.6459854014598541,0.9749289222021195,0.9805042890564076,3772,75,97,177,0.01949571094359241,0.354014598540146,0.9238927290010797,5.89801812171936
